StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,AWNA,PLNA,PLA,AWA,QTime_First Click,QTime_Last Click,QTime_Page Submit,QTime_Click Count,Age,School,Employment,HHI,Industry,Sex,per_week,time_spent,lifestyle,attention,country,statement,lose,win_work,win_invest,confirm
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please select one of the two payout options below. At the end of the survey, there is a 10% chance that your choice will be carried out. If so, you will receive the payout for the option you have selected as a worker bonus.","Please select one of the two payout options below. At the end of the survey, there is a 10% chance that your choice will be carried out. If so, you will receive the payout for the option you have selected as a worker bonus.","Please select one of the two payout options below. At the end of the survey, there is a 10% chance that your choice will be carried out. If so, you will receive the payout for the option you have selected as a worker bonus.","Please select one of the two payout options below. At the end of the survey, there is a 10% chance that your choice will be carried out. If so, you will receive the payout for the option you have selected as a worker bonus.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How old are you?,What is the highest level of school you have completed or the highest degree you have received?,Which statement best describes your current employment status?,"Please estimate your household's annual income (before taxes), and select the appropriate option below.",Please indicate your occupation's industry:,What is your sex?,How often do you use Mechanical Turk each Week?,How long do you spend on Mechanical Turk on a day when you use the platform?,How does the money you earn from Mechanical Turk affect your lifestyle?,"Some people race through questions, randomly selecting answers to move forward. To demonstrate you are paying attention, please do not select an answer for this question.",I am responding to this survey from:,"In the previous section, you were asked the following question:
""Some people race through questions, randomly selecting answers to move forward. To demonstrate you are paying attention, please do not select an answer for this question.""

 

As you selected an answer, you have been removed from the study to ensure all responses are non-random selections. You will still be compensated for your completion of the HIT up to this point.

 

This number serves as your confirmation code for Mechanical Turk: [int-100000:999999].



Please copy and paste it into the box below, and save the number to submit to the Mechanical Turk HIT for survey completion credit. The number you place in the box below must match what you submit to Mechanical Turk to receive completion credit for this HIT.",Your survey was not randomly selected for a payout.,"Your survey was randomly selected for a payout. As you selected the option to ""work"" at the beginning of the survey, you will receive a bonus payment of $10.00 within the next few weeks to your Mechanical Turk account.","Your survey was randomly selected for a payout. As you selected the option to invest at the beginning of the survey, you will receive a bonus payment in accordance with your selected option within the next few weeks to your Mechanical Turk account.","This number serves as your confirmation code for Mechanical Turk: [int-100000:999999].



Please copy and paste it into the box below, and save the number to submit to the Mechanical Turk HIT for survey completion credit. The number you place in the box below must match what you submit to Mechanical Turk to receive completion credit for this HIT."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID7""}","{""ImportId"":""QID6""}","{""ImportId"":""QID38_FIRST_CLICK""}","{""ImportId"":""QID38_LAST_CLICK""}","{""ImportId"":""QID38_PAGE_SUBMIT""}","{""ImportId"":""QID38_CLICK_COUNT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID17""}","{""ImportId"":""QID14""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID35""}","{""ImportId"":""QID23""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34_TEXT""}"
2019-03-15 13:08:20,2019-03-15 13:09:14,IP Address,174.85.255.66,100,54,True,2019-03-15 13:09:15,R_3eq5yTqO5Lwpfym,,,,,34.831695556640625,-86.8867034912109375,anonymous,EN,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$9.45, $10.47, $8.69, $10.95, $10.95, $11.79, $11.74, $11.81, $10.58, $11.54, $12.26, $12.29, $8.93, $12.21, $11.33, $11.25, $11.22, $8.99, $11.84, $8.92",,8.643,8.643,11.916,1,18 - 24,Some college but no degree,Full-time employed,"$10,000 - $19,999",Sales and office,Female,Daily,More than 7 hours,Mechanical Turk money is always needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,8320
2019-03-15 13:08:34,2019-03-15 13:09:34,IP Address,67.11.212.123,100,59,True,2019-03-15 13:09:35,R_2YkYvuJ5a9AdCR0,,,,,29.5825958251953125,-98.4091033935546875,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",5.464,5.464,10.21,1,25 - 34,Master's degree,Full-time employed,"$100,000 - $149,999","Management, professional, and related",Male,4-6 times a week,30 - 60 minutes,Mechanical Turk money does not materially change my financial situation,,The United States,,Select here to acknowledge your understanding,,,6277
2019-03-15 13:09:19,2019-03-15 13:10:03,IP Address,24.18.153.117,100,43,True,2019-03-15 13:10:03,R_2A0QQIpUuChQCij,,,,,47.3235931396484375,-122.318695068359375,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",4.915,4.915,5.826,1,25 - 34,Bachelor's degree in college (4-year),Not working and seeking employment (Unemployed),"$60,000 - $69,999",Unemployed,Male,Daily,More than 7 hours,Mechanical Turk money is always needed to make basic ends meet,,The United States,,,,Select here to acknowledge your understanding,4172
2019-03-15 13:08:35,2019-03-15 13:10:20,IP Address,173.48.165.229,100,104,True,2019-03-15 13:10:20,R_0llv2oP0Qntq98J,,,,,41.904998779296875,-71.10260009765625,anonymous,EN,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$9.45, $10.47, $8.69, $10.95, $10.95, $11.79, $11.74, $11.81, $10.58, $11.54, $12.26, $12.29, $8.93, $12.21, $11.33, $11.25, $11.22, $8.99, $11.84, $8.92",,26.462,26.467,27.215,2,55 - 64,High school graduate (high school diploma or equivalent including GED),Full-time employed,"$40,000 - $49,999",Sales and office,Female,Daily,3 - 4 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,9838
2019-03-15 13:08:27,2019-03-15 13:10:32,IP Address,76.187.65.25,100,125,True,2019-03-15 13:10:32,R_3D6ZBZdUvssVGRu,,,,,33.1371002197265625,-96.74880218505859375,anonymous,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,14.529,14.529,25.499,1,25 - 34,Some college but no degree,Full-time employed,"$30,000 - $39,999",Service,Male,4-6 times a week,3 - 4 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,4033
2019-03-15 13:10:43,2019-03-15 13:11:50,IP Address,72.228.32.49,100,67,True,2019-03-15 13:11:50,R_31cQuJ6SFzNYgAC,,,,,43.0592041015625,-73.73560333251953125,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",5.763,16.492,17.355,4,25 - 34,Associate or Technical degree in college (2-year),Full-time employed,"$40,000 - $49,999",Service,Female,4-6 times a week,1 - 2 hours,Mechanical Turk money is sometimes needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,3794
2019-03-15 13:11:09,2019-03-15 13:12:08,IP Address,198.24.30.139,100,58,True,2019-03-15 13:12:08,R_12uxOzzBVUNnsv3,,,,,38.8502044677734375,-77.14479827880859375,anonymous,EN,,Wage Choice - Guaranteed Receipt of $10.00,,,6.336,6.336,9.252,1,18 - 24,Bachelor's degree in college (4-year),Full-time employed,"$50,000 - $59,999","Management, professional, and related",Male,Daily,1 - 2 hours,Mechanical Turk money does not materially change my financial situation,,The United States,,Select here to acknowledge your understanding,,,4884
2019-03-15 13:11:28,2019-03-15 13:13:09,IP Address,68.59.144.118,100,101,True,2019-03-15 13:13:10,R_3mkOxTJ8HbLa7bC,,,,,35.4573974609375,-84.60430145263671875,anonymous,EN,Wage Choice - Guaranteed Receipt of $10.00,,,,21.017,22.265,27.809,2,25 - 34,High school graduate (high school diploma or equivalent including GED),Part-time employed,"$50,000 - $59,999","Management, professional, and related",Male,4-6 times a week,5 - 6 hours,Mechanical Turk money is sometimes needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,7318
